top - 17:24:54 up  5:22,  1 user,  load average: 0.54, 0.66, 0.52
Tasks: 427 total,   1 running, 426 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.5 sy,  0.0 ni, 91.2 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15767.8 total,   1922.7 free,   6280.3 used,   7564.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6892.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4507 vandana+  20   0   32.0g   2952   2688 S   0.0   0.0   0:00.00 chrome_+
   4513 vandana+  20   0   32.3g  58396  47148 S   0.0   0.4   0:00.01 chrome
   4514 vandana+  20   0   32.3g  58540  47292 S   0.0   0.4   0:00.01 chrome
   4515 vandana+  20   0   32.0g   4688   4296 S   0.0   0.0   0:00.00 nacl_he+
   4518 vandana+  20   0   32.3g  15920   4544 S   0.0   0.1   0:00.30 chrome
   4623 vandana+  20   0   32.9g 198304 129980 S   0.0   1.2   0:57.95 chrome
   4627 vandana+  20   0   32.4g 123024  94220 S   0.0   0.8   1:47.06 chrome
   4692 vandana+  20   0   32.3g  51232  37672 S   0.0   0.3   0:01.01 chrome
   4953 vandana+  20   0 1130.0g 289896 122436 S   0.0   1.8   2:20.66 chrome
   4961 vandana+  20   0 1132.1g 348016 117696 S   0.0   2.2   0:42.64 chrome
   5007 vandana+  20   0 1129.9g 145748  98516 S   0.0   0.9   0:07.35 chrome
   5045 vandana+  20   0   32.6g  85752  73528 S   0.0   0.5   0:57.45 chrome
   5165 vandana+  20   0 1131.0g 287968 110760 S   0.0   1.8   0:22.15 chrome
   5171 vandana+  20   0 1129.9g 274892 127048 S   0.0   1.7   1:35.24 chrome
   5250 vandana+  20   0 1130.0g 140508 107428 S   0.0   0.9   0:01.80 chrome
   5275 vandana+  20   0 1130.0g 259648 125632 S   0.0   1.6   0:30.64 chrome
   5331 vandana+  20   0 1130.9g 156432 109172 S   0.0   1.0   0:02.91 chrome
   5360 vandana+  20   0 1129.9g 158208 111700 S   0.0   1.0   0:04.68 chrome
   5373 vandana+  20   0 1129.9g 141732 101264 S   0.0   0.9   0:02.80 chrome
   5389 vandana+  20   0 1129.9g 168488 103116 S   0.0   1.0   0:10.60 chrome
   5427 vandana+  20   0 1129.9g 146976 102528 S   0.0   0.9   0:01.49 chrome
   5478 vandana+  20   0 1129.9g 140420  98608 S   0.0   0.9   0:02.81 chrome
